Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.123047,0.158203,0.123047,0.144531,0.103106,266310400
1985-02-01,0.144531,0.150391,0.140625,0.142578,0.101713,121689600
1985-03-01,0.142578,0.148438,0.130859,0.136719,0.097533,93465600
1985-04-01,0.136719,0.167969,0.128906,0.154297,0.110073,208448000
1985-05-01,0.156250,0.183594,0.156250,0.173828,0.124006,225062400
1985-06-01,0.173828,0.177734,0.152344,0.167969,0.119826,165734400
1985-07-01,0.167969,0.183594,0.164063,0.175781,0.125399,182342400
1985-08-01,0.175781,0.197266,0.173828,0.195313,0.139333,189760000
1985-09-01,0.195313,0.212891,0.177734,0.208984,0.149085,163948800
1985-10-01,0.208984,0.230469,0.205078,0.210938,0.150479,338828800
1985-11-01,0.210938,0.216797,0.187500,0.207031,0.147692,165196800
1985-12-01,0.207031,0.226563,0.197266,0.220703,0.157446,190195200
1986-01-01,0.220703,0.265625,0.212891,0.263672,0.188099,624236800
1986-02-01,0.263672,0.275391,0.253906,0.255859,0.182525,334777600
1986-03-01,0.255859,0.291016,0.244141,0.283203,0.202032,564608000
1986-04-01,0.283203,0.283203,0.244141,0.251953,0.179739,391225600
1986-05-01,0.251953,0.279297,0.238281,0.273438,0.195066,224198400
1986-06-01,0.273438,0.320313,0.257813,0.304688,0.217359,476416000
1986-07-01,0.304688,0.316406,0.212891,0.218750,0.156052,444038400
1986-08-01,0.218750,0.248047,0.210938,0.228516,0.163019,294291200
1986-09-01,0.228516,0.234375,0.162109,0.166016,0.118433,343833600
1986-10-01,0.166016,0.236328,0.162109,0.228516,0.163019,535174400
1986-11-01,0.228516,0.248047,0.199219,0.218750,0.156052,574054400
1986-12-01,0.218750,0.226563,0.177734,0.183594,0.130973,345299200
1987-01-01,0.183594,0.203125,0.179688,0.193359,0.137939,344736000
1987-02-01,0.193359,0.234375,0.191406,0.234375,0.167199,285523200
1987-03-01,0.234375,0.294922,0.218750,0.283203,0.202032,936435200
1987-04-01,0.283203,0.285156,0.246094,0.261719,0.186706,375033600
1987-05-01,0.261719,0.267578,0.234375,0.263672,0.188099,327321600
1987-06-01,0.263672,0.298828,0.253906,0.263672,0.188099,340192000
1987-07-01,0.263672,0.343750,0.261719,0.333984,0.238258,529984000
1987-08-01,0.332031,0.353516,0.312500,0.335938,0.239652,294572800
1987-09-01,0.335938,0.386719,0.308594,0.373047,0.266125,484953600
1987-10-01,0.373047,0.380859,0.218750,0.261719,0.187073,583648000
1987-11-01,0.261719,0.279297,0.238281,0.244141,0.174508,276192000
1987-12-01,0.244141,0.326172,0.232422,0.304688,0.217787,235865600
1988-01-01,0.304688,0.314453,0.269531,0.277344,0.199550,300352000
1988-02-01,0.277344,0.359375,0.277344,0.332031,0.238898,347065600
1988-03-01,0.332031,0.414063,0.330078,0.347656,0.250140,1000524800
1988-04-01,0.347656,0.396484,0.335938,0.392578,0.283650,409478400
1988-05-01,0.392578,0.400391,0.343750,0.378906,0.273772,290284800
1988-06-01,0.378906,0.455078,0.361328,0.445313,0.321753,426214400
1988-07-01,0.445313,0.445313,0.384766,0.398438,0.289071,250963200
1988-08-01,0.398438,0.416016,0.367188,0.396484,0.287653,271635200
1988-09-01,0.396484,0.478516,0.386719,0.460938,0.334415,668224000
1988-10-01,0.460938,0.537109,0.453125,0.500000,0.364027,442604800
1988-11-01,0.500000,0.527344,0.416016,0.443359,0.322789,746144000
1988-12-01,0.443359,0.457031,0.380859,0.414063,0.301461,701600000
1989-01-01,0.414063,0.488281,0.394531,0.472656,0.346015,576480000
1989-02-01,0.472656,0.519531,0.457031,0.468750,0.343156,331891200
1989-03-01,0.468750,0.539063,0.462891,0.525391,0.384621,429273600
1989-04-01,0.525391,0.589844,0.523438,0.572266,0.421042,309766400
1989-05-01,0.572266,0.621094,0.566406,0.593750,0.436849,360524800
1989-06-01,0.593750,0.712891,0.593750,0.636719,0.468463,649830400
1989-07-01,0.636719,0.724609,0.628906,0.724609,0.534957,589273600
1989-08-01,0.724609,0.814453,0.708984,0.814453,0.601286,400832000
1989-09-01,0.814453,1.072266,0.798828,1.039063,0.767108,870624000
1989-10-01,1.033203,1.082031,0.898438,0.960938,0.711349,596755200
1989-11-01,0.960938,0.992188,0.890625,0.921875,0.682432,598048000
1989-12-01,0.921875,0.929688,0.738281,0.832031,0.615924,660038400
1990-01-01,0.832031,0.890625,0.761719,0.789063,0.586248,425433600
1990-02-01,0.789063,0.886719,0.750000,0.886719,0.658803,363891200
1990-03-01,0.886719,1.105469,0.855469,1.058594,0.786501,532960000
1990-04-01,1.058594,1.109375,1.019531,1.074219,0.800735,404140800
1990-05-01,1.074219,1.296875,1.074219,1.226563,0.914294,663059200
1990-06-01,1.226563,1.261719,1.103516,1.199219,0.893912,682073600
1990-07-01,1.199219,1.498047,1.195313,1.343750,1.004251,890694400
1990-08-01,1.343750,1.365234,0.917969,1.023438,0.764866,1135193600
1990-09-01,1.023438,1.187500,0.902344,0.976563,0.729834,829804800
1990-10-01,0.988281,1.060547,0.812500,0.859375,0.644141,631235200
1990-11-01,0.859375,1.140625,0.851563,1.066406,0.799320,339955200
1990-12-01,1.078125,1.257813,1.078125,1.257813,0.942788,319811200
1991-01-01,1.257813,1.492188,1.101563,1.492188,1.122698,312720000
1991-02-01,1.492188,1.683594,1.359375,1.500000,1.128575,350928000
1991-03-01,1.500000,1.703125,1.367188,1.441406,1.084490,298153600
1991-04-01,1.441406,1.570313,1.332031,1.484375,1.117200,325856000
1991-05-01,1.484375,1.542969,1.191406,1.242188,0.934921,427395200
1991-06-01,1.242188,1.304688,1.097656,1.128906,0.849660,269859200
1991-07-01,1.128906,1.371094,1.109375,1.363281,1.026527,305676800
1991-08-01,1.363281,1.562500,1.320313,1.558594,1.173594,297177600
1991-09-01,1.558594,1.707031,1.480469,1.691406,1.273599,233571200
1991-10-01,1.691406,1.765625,1.546875,1.726563,1.300551,245801600
1991-11-01,1.734375,1.960938,1.707031,1.839844,1.385882,212531200
1991-12-01,1.824219,2.367188,1.789063,2.261719,1.703663,190147200
