Date;Market;Size;Value;Momentum;Investment;Profitability;Low volatility
01.10.2005;-1,72%;-0,86%;0,13%;-0,30%;0,18%;0,22%;2,45%
01.11.2005;3,70%;0,42%;-1,20%;0,06%;-0,87%;1,64%;-1,61%
01.12.2005;0,02%;0,04%;-0,18%;0,15%;0,43%;-0,07%;-0,22%
01.01.2006;3,38%;2,67%;0,68%;2,38%;-0,88%;0,87%;-4,55%
01.02.2006;-0,15%;0,04%;-0,43%;-1,47%;1,25%;-0,65%;1,11%
01.03.2006;1,52%;1,73%;0,49%;1,98%;0,73%;1,21%;-2,09%
01.04.2006;0,82%;-0,65%;1,73%;0,43%;-0,48%;1,07%;0,60%
01.05.2006;-3,67%;-1,00%;1,99%;-3,10%;1,42%;-1,35%;4,37%
01.06.2006;-0,28%;-0,34%;0,79%;0,10%;-0,27%;-0,38%;1,78%
01.07.2006;-1,28%;-1,62%;1,43%;-0,88%;0,07%;-2,07%;3,65%
01.08.2006;1,54%;0,54%;-0,33%;-2,25%;1,21%;-0,26%;-0,78%
01.09.2006;1,90%;-0,87%;-0,07%;-1,12%;0,15%;2,45%;0,15%
01.10.2006;3,20%;1,07%;-0,78%;-0,33%;-0,05%;1,02%;-2,05%
01.11.2006;1,67%;0,31%;0,04%;-0,09%;-0,29%;-0,82%;-0,74%
01.12.2006;0,55%;-0,03%;2,29%;0,44%;0,79%;0,69%;1,05%
01.01.2007;1,77%;-0,36%;-0,48%;0,56%;0,42%;1,29%;0,06%
01.02.2007;-1,46%;0,58%;0,56%;-1,14%;0,48%;0,86%;1,28%
01.03.2007;0,69%;-0,18%;-0,29%;1,73%;-0,09%;1,06%;-0,50%
01.04.2007;3,48%;-1,42%;-1,34%;0,57%;-0,83%;0,51%;0,01%
01.05.2007;3,29%;-0,27%;-0,76%;-0,37%;-0,78%;1,76%;0,59%
01.06.2007;-2,00%;0,51%;-0,39%;0,02%;-0,17%;1,20%;0,19%
01.07.2007;-4,10%;-1,36%;-2,42%;1,43%;-1,19%;1,28%;0,88%
01.08.2007;0,83%;-0,67%;-2,57%;0,32%;-1,76%;-1,07%;1,74%
01.09.2007;3,06%;-1,42%;-1,90%;3,71%;-1,86%;0,29%;1,28%
01.10.2007;1,90%;-0,81%;-2,48%;4,09%;-0,90%;1,56%;0,60%
01.11.2007;-4,41%;-2,26%;-0,93%;1,29%;0,46%;-0,21%;4,47%
01.12.2007;-1,01%;0,17%;-1,00%;2,31%;-0,75%;0,40%;-0,76%
01.01.2008;-6,03%;0,16%;3,38%;-5,94%;2,34%;-2,14%;0,45%
01.02.2008;-2,58%;-0,75%;-0,09%;4,09%;0,05%;0,99%;4,97%
01.03.2008;-1,33%;0,35%;0,98%;-0,03%;1,95%;0,23%;1,22%
01.04.2008;4,85%;-1,49%;-1,95%;2,05%;-1,83%;2,31%;0,52%
01.05.2008;2,56%;0,73%;-2,10%;2,72%;-1,05%;2,44%;1,31%
01.06.2008;-8,44%;-1,10%;-1,73%;7,89%;-1,34%;2,34%;1,64%
01.07.2008;-0,53%;2,53%;1,99%;-4,28%;1,66%;-1,50%;-1,11%
01.08.2008;1,63%;1,46%;2,03%;-4,70%;0,68%;1,66%;-1,84%
01.09.2008;-10,50%;1,46%;4,36%;-3,56%;3,37%;-2,22%;3,50%
01.10.2008;-18,29%;-2,09%;0,55%;4,76%;2,13%;-1,37%;6,42%
01.11.2008;-8,42%;-3,34%;-2,97%;6,29%;0,42%;-0,72%;8,62%
01.12.2008;2,15%;1,73%;-1,42%;-2,30%;-1,37%;3,31%;-2,56%
01.01.2009;-7,73%;-0,79%;-4,88%;-0,82%;-1,38%;2,11%;6,69%
01.02.2009;-10,68%;-1,03%;-5,18%;3,17%;-0,23%;4,71%;6,80%
01.03.2009;9,48%;1,00%;1,56%;-6,25%;-1,08%;1,25%;-7,02%
01.04.2009;11,77%;6,43%;3,60%;-24,67%;1,04%;3,12%;-20,48%
01.05.2009;5,37%;1,17%;0,93%;-8,24%;-2,79%;-1,40%;-4,88%
01.06.2009;0,20%;1,76%;-1,87%;2,34%;-0,72%;1,62%;1,33%
01.07.2009;8,14%;1,26%;3,25%;-4,93%;3,22%;0,26%;-2,91%
01.08.2009;3,65%;0,22%;6,91%;-6,27%;4,38%;-1,10%;-6,59%
01.09.2009;4,14%;1,44%;1,45%;-3,91%;0,67%;1,09%;-2,33%
01.10.2009;-3,03%;-2,47%;-2,44%;-0,18%;-1,36%;3,51%;5,32%
01.11.2009;5,39%;-2,28%;-0,50%;1,95%;-0,08%;0,29%;0,32%
01.12.2009;3,51%;2,75%;1,62%;0,72%;0,56%;1,05%;-0,86%
01.01.2010;-3,32%;0,48%;1,31%;-2,45%;1,30%;-1,92%;0,98%
01.02.2010;3,55%;0,85%;2,00%;3,27%;1,14%;1,82%;-1,84%
01.03.2010;6,44%;1,08%;1,94%;2,10%;2,02%;0,57%;-1,49%
01.04.2010;2,23%;3,06%;4,42%;2,74%;2,99%;-1,40%;-3,36%
01.05.2010;-7,72%;0,08%;-2,82%;0,21%;-0,36%;1,60%;2,45%
01.06.2010;-5,78%;-1,12%;-4,23%;-2,66%;-1,84%;0,89%;6,08%
01.07.2010;7,15%;-0,49%;-0,02%;1,45%;0,81%;-1,00%;-2,85%
01.08.2010;-4,95%;-1,68%;-1,76%;-0,20%;-0,75%;1,29%;4,75%
01.09.2010;9,79%;1,61%;-1,86%;1,36%;2,51%;2,41%;-4,29%
01.10.2010;3,79%;0,34%;-1,39%;0,61%;-1,08%;1,22%;-0,36%
01.11.2010;1,05%;1,52%;-0,82%;2,73%;1,80%;1,25%;-0,73%
01.12.2010;6,97%;1,13%;2,33%;-2,30%;2,33%;-2,97%;-2,56%
01.01.2011;2,07%;-1,65%;-0,27%;-0,23%;0,75%;-1,48%;2,15%
01.02.2011;3,64%;0,73%;0,68%;1,31%;1,41%;-0,14%;-0,33%
01.03.2011;0,62%;0,84%;-1,11%;2,38%;2,15%;0,81%;1,15%
01.04.2011;2,77%;-0,57%;-1,35%;0,26%;-0,24%;1,02%;1,28%
01.05.2011;-1,24%;-0,43%;-1,32%;0,09%;0,01%;1,99%;1,82%
01.06.2011;-1,53%;-0,45%;-0,38%;2,27%;0,16%;2,32%;2,24%
01.07.2011;-3,03%;-0,08%;0,72%;0,03%;0,21%;0,37%;0,32%
01.08.2011;-6,40%;-1,87%;-1,30%;0,41%;-0,53%;0,32%;4,78%
01.09.2011;-8,39%;-1,86%;-0,04%;-3,08%;0,78%;0,66%;8,72%
01.10.2011;12,44%;1,63%;-1,81%;1,01%;-0,27%;0,15%;-7,39%
01.11.2011;-0,22%;-0,47%;0,02%;2,51%;1,27%;-0,93%;2,99%
01.12.2011;0,27%;0,38%;2,00%;-0,45%;1,99%;-0,36%;1,14%
01.01.2012;5,51%;1,56%;-1,12%;-4,45%;-1,31%;0,26%;-4,70%
01.02.2012;4,20%;-0,90%;0,36%;-0,42%;1,04%;-0,08%;-0,50%
01.03.2012;2,73%;0,08%;1,89%;1,20%;2,08%;0,77%;1,29%
01.04.2012;-0,80%;-0,56%;0,99%;3,67%;0,89%;-0,57%;3,10%
01.05.2012;-6,47%;-0,30%;1,11%;4,12%;2,11%;-0,67%;2,29%
01.06.2012;3,64%;0,92%;0,69%;-1,06%;1,17%;-1,61%;-0,67%
01.07.2012;0,43%;-1,23%;-0,49%;2,38%;0,83%;-1,53%;1,42%
01.08.2012;2,75%;0,49%;0,58%;-0,67%;-0,57%;0,07%;-2,25%
01.09.2012;2,56%;0,99%;1,27%;-0,39%;0,44%;-0,68%;-1,01%
01.10.2012;-1,09%;-0,75%;1,86%;1,50%;0,10%;-1,25%;2,07%
01.11.2012;0,98%;-0,11%;-0,59%;0,52%;1,07%;1,34%;-0,19%
01.12.2012;1,92%;1,09%;2,22%;-2,03%;0,02%;-0,27%;0,10%
01.01.2013;6,18%;0,06%;-0,17%;0,76%;0,40%;-0,80%;0,06%
01.02.2013;1,23%;-0,20%;0,11%;1,28%;0,37%;-1,00%;1,60%
01.03.2013;4,28%;0,50%;0,04%;2,28%;0,19%;-0,63%;-1,47%
01.04.2013;1,48%;-1,17%;0,05%;-0,07%;0,81%;0,74%;-1,17%
01.05.2013;2,88%;1,46%;1,03%;-1,27%;-0,50%;1,40%;-1,70%
01.06.2013;-1,03%;0,96%;1,02%;-0,50%;0,90%;-0,04%;0,30%
01.07.2013;5,60%;1,45%;-0,07%;0,92%;0,02%;-0,95%;-1,42%
01.08.2013;-2,71%;-0,36%;-2,14%;-0,01%;-1,64%;0,83%;0,04%
01.09.2013;4,11%;1,48%;-0,62%;0,72%;-0,28%;1,04%;-2,01%
01.10.2013;3,94%;-0,74%;0,91%;-0,08%;1,97%;0,99%;2,97%
01.11.2013;2,84%;1,28%;1,07%;0,11%;1,35%;-0,95%;-1,20%
01.12.2013;2,89%;-0,49%;-0,91%;-0,01%;-0,33%;-0,10%;0,04%
01.01.2014;-2,93%;0,12%;-2,81%;1,18%;-0,89%;-2,20%;-1,72%
01.02.2014;4,84%;-0,26%;-0,42%;1,07%;-0,42%;-0,30%;-0,75%
01.03.2014;0,41%;-0,07%;3,46%;-2,12%;1,18%;-0,49%;2,68%
01.04.2014;-0,39%;-2,41%;1,27%;-2,50%;0,92%;0,41%;4,45%
01.05.2014;2,07%;-1,26%;-0,13%;-0,56%;-0,22%;-0,58%;1,33%
01.06.2014;2,80%;1,32%;-0,87%;0,34%;-1,29%;-1,22%;-1,72%
01.07.2014;-2,22%;-2,26%;-0,23%;-0,85%;1,34%;0,58%;2,04%
01.08.2014;4,24%;0,44%;-0,17%;1,41%;-0,75%;-0,27%;-1,65%
01.09.2014;-1,96%;-2,54%;-1,73%;2,28%;0,49%;1,31%;3,41%
01.10.2014;2,77%;1,86%;-1,47%;-1,84%;0,50%;0,57%;3,32%
01.11.2014;2,31%;-1,83%;-2,25%;1,15%;1,38%;1,98%;3,40%

