Date,Open,High,Low,Close,Adj Close,Volume
1973-07-01,18.761950,19.329590,17.626673,18.791826,4.281524,16038108
1973-08-01,18.791826,18.806765,17.761114,17.985182,4.097741,12064981
1973-09-01,17.955305,17.955305,14.967734,15.415870,3.525167,24951701
1973-10-01,15.400932,17.626673,14.639101,16.745338,3.829181,22468082
1973-11-01,16.745338,17.327915,15.714627,15.834130,3.620810,15671591
1973-12-01,15.819192,15.953633,14.049056,14.743666,3.385155,16538512
1974-01-01,14.743666,15.027486,13.444073,14.654039,3.364574,16662363
1974-02-01,14.609226,14.609226,13.444073,14.213372,3.263398,10454981
1974-03-01,14.213372,15.176864,13.832457,14.086401,3.251828,12925213
1974-04-01,14.086401,14.489723,13.070626,13.578513,3.134582,12059962
1974-05-01,13.578513,13.862333,12.525394,12.697180,2.931128,12237364
1974-06-01,12.697180,13.862333,12.547801,12.712118,2.951132,11527756
1974-07-01,12.712118,13.376852,11.726219,12.047383,2.796815,17356905
1974-08-01,12.047383,12.846558,11.248207,11.472275,2.663302,21085687
1974-09-01,11.472275,11.502151,8.992591,9.500478,2.221060,26824462
1974-10-01,9.500478,11.771033,9.216659,11.300490,2.641875,31492132
1974-11-01,11.300490,11.950287,9.963552,10.590942,2.475994,22138381
1974-12-01,10.486377,10.493846,9.567698,10.038241,2.364891,21400322
1975-01-01,10.053179,11.442400,9.395913,11.248207,2.649945,36449334
1975-02-01,11.248207,13.205067,11.188456,12.876434,3.033536,31800075
1975-03-01,12.906310,13.429135,12.144479,12.346140,2.930598,23673073
1975-04-01,12.346140,12.988468,11.726219,12.540332,2.976695,26198535
1975-05-01,12.540332,13.585982,12.308795,12.846558,3.049382,24220338
1975-06-01,12.966061,13.130378,12.129541,12.488050,2.985369,19838855
1975-07-01,12.488050,12.592615,11.337835,11.367710,2.717543,24868022
1975-08-01,11.367710,11.397586,10.516252,11.128705,2.660405,18391191
1975-09-01,11.128705,11.726219,10.613348,11.248207,2.714514,19480705
1975-10-01,11.248207,12.891372,10.949450,12.682242,3.060589,32856115
1975-11-01,12.682242,13.533700,12.607553,13.526231,3.264269,20941756
1975-12-01,13.526231,13.578513,12.413360,13.399259,3.260350,21007025
1976-01-01,13.399259,15.520435,13.346977,15.400932,3.747403,38363934
1976-02-01,15.400932,15.804254,15.042424,15.273960,3.716506,25853773
1976-03-01,15.273960,15.886413,15.191802,15.654876,3.834636,25524075
1976-04-01,15.654876,16.327080,15.079768,15.139520,3.708401,29654519
1976-05-01,15.102175,15.505497,14.654039,15.333712,3.755968,19733416
1976-06-01,15.326243,16.663181,15.057361,16.536209,4.079072,29299715
1976-07-01,16.536209,16.752808,16.013384,16.259859,4.010903,26973411
1976-08-01,16.259859,16.775215,15.998446,16.349485,4.033009,20933390
1976-09-01,16.349485,17.238289,16.327080,16.812559,4.181233,25662984
1976-10-01,16.812559,16.924595,15.117113,16.237452,4.038204,35373208
1976-11-01,16.237452,16.461519,15.385994,16.192638,4.027061,27272988
1976-12-01,16.192638,16.849903,15.819192,16.678120,4.182914,28834453
1977-01-01,16.521273,16.760277,15.901350,16.446583,4.124847,33940607
1977-02-01,16.446583,16.603430,15.893881,16.491396,4.136085,26936592
1977-03-01,16.498865,17.096378,16.476458,16.521273,4.181699,39602396
1977-04-01,16.521273,16.685589,15.326243,15.460684,3.913253,38543008
1977-05-01,15.460684,15.759441,14.609226,14.668977,3.712864,31995883
1977-06-01,14.698853,16.065666,14.698853,15.774379,4.030987,33870318
1977-07-01,15.766910,16.461519,15.415870,16.020853,4.093971,28499735
1977-08-01,16.020853,16.252390,15.766910,16.035791,4.097787,23708217
1977-09-01,16.035791,16.073135,15.251554,15.595124,4.022460,22869742
1977-10-01,15.595124,15.684751,15.184333,15.371056,3.964669,27910627
1977-11-01,15.371056,16.088074,14.878107,15.774379,4.068695,38069378
1977-12-01,15.774379,16.446583,15.490559,16.342016,4.256716,33480370
1978-01-01,16.043261,16.312141,15.774379,15.864006,4.132206,40991483
1978-02-01,15.864006,15.916288,14.952796,15.012548,3.910424,29135700
1978-03-01,15.012548,15.087237,14.056525,14.071463,3.705833,52223014
1978-04-01,14.116276,15.893881,14.026649,15.893881,4.185782,63170035
1978-05-01,15.893881,16.058199,15.415870,15.430808,4.063828,40624965
1978-06-01,15.430808,16.506334,15.296367,15.371056,4.092869,38914547
1978-07-01,15.371056,16.820028,15.236616,16.790154,4.470733,41199008
1978-08-01,16.790154,17.970243,16.670650,17.439951,4.643753,52507525
1978-09-01,17.447418,18.194311,16.342016,16.551147,4.450839,34456078
1978-10-01,16.551147,17.537046,15.744503,15.789316,4.245972,47285896
1978-11-01,15.849068,16.521273,15.296367,16.103010,4.330329,41583939
1978-12-01,16.170233,18.522945,16.095543,17.835802,4.849153,48114327
1979-01-01,17.835802,18.896391,17.596798,18.448256,5.015664,50077460
1979-02-01,18.448256,18.582697,17.753645,17.925430,4.873521,29010182
1979-03-01,17.925430,19.165272,17.843271,18.851578,5.184077,35334716
1979-04-01,18.851578,19.239962,18.298878,18.776888,5.163538,36226745
1979-05-01,18.776888,19.210087,18.059872,18.164436,4.995115,31448617
1979-06-01,18.254063,18.761950,17.238289,17.537046,4.875037,33091255
1979-07-01,17.537046,18.343691,16.252390,16.670650,4.634190,36772338
1979-08-01,16.670650,17.327915,16.312141,16.730402,4.650801,38553470
1979-09-01,16.700525,17.059034,15.714627,16.192638,4.556700,37127560
1979-10-01,16.162764,16.610899,14.609226,14.907983,4.195190,48039850
1979-11-01,14.907983,16.013384,14.609226,15.595124,4.388555,35448104
1979-12-01,15.565249,16.162764,15.117113,15.385994,4.389869,27754146
1980-01-01,15.057361,17.208412,14.639101,16.401770,4.679685,51914654
1980-02-01,16.401770,16.849903,14.818356,15.176864,4.330201,41714062
1980-03-01,15.176864,15.176864,12.278920,13.324570,3.849257,51901683
1980-04-01,13.324570,13.384321,12.039914,13.115440,3.788846,58338768
1980-05-01,13.115440,13.533700,12.428298,13.234943,3.823366,41834141
1980-06-01,13.234943,14.429971,13.205067,14.041587,4.120676,44183877
1980-07-01,14.041587,15.804254,13.951960,15.595124,4.576584,43042898
1980-08-01,15.595124,16.521273,15.296367,15.654876,4.594120,39763901
1980-09-01,15.654876,16.491396,15.146989,15.326243,4.557401,46226508
1980-10-01,15.326243,17.088909,15.206740,15.923757,4.735076,58178517
1980-11-01,15.953633,17.387667,15.834130,16.282267,4.841684,48196331
1980-12-01,16.252390,16.610899,15.117113,16.222513,4.886170,49275384
1981-01-01,16.222513,17.088909,15.296367,15.385994,4.634211,46493445
1981-02-01,15.385994,15.505497,14.400096,15.356119,4.625214,33156945
1981-03-01,15.356119,15.595124,14.668977,14.907983,4.550915,45034066
1981-04-01,14.907983,15.146989,14.011711,14.011711,4.277314,67447755
1981-05-01,14.011711,14.190966,13.175191,14.041587,4.286433,48817659
1981-06-01,14.280593,14.519598,13.653203,13.832457,4.286285,46948246
1981-07-01,13.832457,13.832457,13.055688,13.414197,4.156676,34799164
1981-08-01,13.414197,14.071463,13.145315,13.175191,4.082618,34838912
1981-09-01,13.175191,13.563576,12.488050,12.936185,4.068493,42054219
1981-10-01,12.936185,13.444073,11.561902,12.308795,3.871178,54799520
1981-11-01,12.428298,13.025813,11.920411,13.025813,4.096682,46824817
1981-12-01,13.025813,13.772706,12.667304,13.593451,4.345722,50008424
