Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,8.370370,9.333333,8.037037,9.240741,4.415682,89606250
1985-02-01,9.240741,9.851852,9.074074,9.703704,4.636910,51862275
1985-03-01,9.703704,9.907407,8.888889,9.259259,4.449202,41314050
1985-04-01,9.259259,9.407407,8.425926,8.944444,4.297929,44407575
1985-05-01,8.944444,9.851852,8.407407,9.851852,4.733951,64794600
1985-06-01,9.851852,10.370370,9.583333,9.944444,4.800792,40899150
1985-07-01,9.944444,11.222222,9.916667,10.722222,5.176272,40279950
1985-08-01,10.833333,11.222222,10.166667,10.694444,5.162863,40499100
1985-09-01,10.694444,10.861111,9.888889,10.083333,4.894607,33656850
1985-10-01,10.083333,10.583333,9.222222,10.194444,4.948544,45713700
1985-11-01,10.194444,11.111111,10.027778,10.916667,5.299120,45245700
1985-12-01,10.916667,11.722222,10.583333,11.611111,5.669675,49051350
1986-01-01,11.611111,11.888889,10.222222,10.722222,5.235632,77333850
1986-02-01,10.722222,12.000000,10.166667,11.861111,5.791747,66937050
1986-03-01,11.861111,12.833333,11.611111,12.666667,6.223898,45196650
1986-04-01,12.583333,13.194444,11.777778,12.500000,6.142005,41036850
1986-05-01,12.500000,13.083333,11.888889,12.944444,6.360385,37761750
1986-06-01,12.888889,14.333333,12.611111,14.000000,6.915363,41702400
1986-07-01,14.000000,14.416667,12.888889,13.138889,6.490012,41862600
1986-08-01,13.138889,13.833333,12.833333,13.527778,6.682108,38576250
1986-09-01,13.444444,13.472222,11.444444,11.861111,5.888351,41111100
1986-10-01,11.861111,12.583333,11.555556,11.750000,5.833192,50408550
1986-11-01,11.750000,11.833333,10.861111,11.333333,5.626341,60388650
1986-12-01,11.333333,12.083333,11.027778,11.361111,5.673019,55456650
1987-01-01,11.416667,11.888889,10.916667,11.166667,5.575925,110005200
1987-02-01,11.166667,12.166667,10.972222,12.055556,6.019781,67590450
1987-03-01,12.055556,12.055556,11.222222,11.527778,5.796817,63295200
1987-04-01,11.527778,11.666667,9.722222,9.888889,4.972694,69298200
1987-05-01,9.888889,10.444444,9.500000,10.055556,5.056504,60776550
1987-06-01,10.055556,10.805556,9.888889,10.416667,5.278924,43246800
1987-07-01,10.416667,12.000000,10.250000,11.777778,5.968699,81377100
1987-08-01,11.750000,11.916667,11.222222,11.722222,5.940549,77552550
1987-09-01,11.722222,11.805556,10.916667,11.305556,5.767841,33855750
1987-10-01,11.305556,11.416667,7.555556,8.583333,4.379025,73098000
1987-11-01,8.583333,8.638889,7.472222,7.638889,3.897188,47130750
1987-12-01,7.722222,8.805556,7.583333,8.222222,4.233278,48668850
1988-01-01,8.305556,10.222222,8.305556,10.166667,5.234393,48211650
1988-02-01,10.166667,10.805556,9.638889,10.555556,5.434616,49238100
1988-03-01,10.555556,11.000000,10.111111,10.333333,5.360766,48967650
1988-04-01,10.333333,10.750000,9.888889,10.666667,5.533698,30288150
1988-05-01,10.666667,12.222222,10.611111,12.222222,6.340693,68581800
1988-06-01,12.222222,13.055556,11.972222,13.055556,6.828759,74899350
1988-07-01,13.055556,13.444444,12.416667,13.444444,7.032167,48628350
1988-08-01,13.444444,14.027778,12.583333,13.111111,6.857818,59423400
1988-09-01,13.055556,14.333333,12.888889,14.250000,7.453520,46244250
1988-10-01,14.194444,15.027778,13.944444,14.416667,7.540697,48289050
1988-11-01,14.416667,14.500000,13.472222,13.777778,7.206521,37379250
1988-12-01,13.750000,14.305556,12.944444,13.472222,7.090334,43084350
1989-01-01,13.472222,14.166667,12.861111,14.083333,7.411957,69101550
1989-02-01,14.083333,14.222222,13.472222,13.750000,7.236526,46663200
1989-03-01,13.750000,15.388889,13.722222,15.166667,8.032608,55708200
