Date,Open,High,Low,Close,Adj Close,Volume
1991-06-01,3.640625,3.796875,3.343750,3.437500,1.415673,39488800
1991-07-01,3.390625,3.875000,3.359375,3.875000,1.595848,43000800
1991-08-01,3.812500,4.187500,3.625000,3.984375,1.640893,52072800
1991-09-01,3.968750,4.250000,3.781250,4.187500,1.737758,32217600
1991-10-01,4.187500,4.296875,3.890625,4.218750,1.750728,28012000
1991-11-01,4.203125,4.312500,3.625000,3.750000,1.556202,27829600
1991-12-01,3.671875,4.609375,3.593750,4.562500,1.907457,41950400
1992-01-01,4.515625,4.562500,4.156250,4.312500,1.802938,47149600
1992-02-01,4.250000,4.765625,4.234375,4.703125,1.966249,34640800
1992-03-01,4.703125,4.750000,4.281250,4.546875,1.914800,37048000
1992-04-01,4.546875,4.937500,4.343750,4.843750,2.039821,48833600
1992-05-01,4.843750,4.968750,4.593750,4.671875,1.967440,35632800
1992-06-01,4.640625,4.750000,4.531250,4.750000,2.013588,43739200
1992-07-01,4.750000,4.953125,4.671875,4.906250,2.079825,38408800
1992-08-01,4.828125,4.937500,4.437500,4.578125,1.940728,37039200
1992-09-01,4.562500,4.875000,4.500000,4.875000,2.081961,44532800
1992-10-01,4.875000,5.281250,4.656250,5.250000,2.242110,38833600
1992-11-01,5.234375,5.375000,5.218750,5.296875,2.262130,41539200
1992-12-01,5.296875,5.531250,5.234375,5.390625,2.318174,36815200
1993-01-01,5.406250,5.656250,5.156250,5.625000,2.418963,37090400
1993-02-01,5.578125,5.890625,5.390625,5.812500,2.499595,47568800
1993-03-01,5.812500,6.500000,5.812500,6.234375,2.698409,67116000
1993-04-01,6.312500,7.093750,6.000000,6.421875,2.779564,65871200
1993-05-01,6.421875,6.562500,5.953125,6.203125,2.684881,39615200
1993-06-01,6.203125,6.843750,5.718750,6.843750,2.981311,64558800
1993-07-01,6.843750,7.000000,6.531250,6.562500,2.858791,48514400
1993-08-01,6.531250,6.781250,6.406250,6.625000,2.886019,44604800
1993-09-01,6.593750,6.906250,6.406250,6.906250,3.027568,40857600
1993-10-01,6.875000,7.250000,6.281250,6.437500,2.822078,55810800
1993-11-01,6.375000,6.531250,5.625000,5.718750,2.506992,63553200
1993-12-01,5.812500,6.375000,5.687500,6.093750,2.688612,57630000
1994-01-01,6.062500,6.656250,5.812500,6.593750,2.909215,61870800
1994-02-01,6.562500,6.843750,5.812500,5.875000,2.610854,52440000
1994-03-01,5.812500,6.281250,5.562500,5.968750,2.652519,57165200
1994-04-01,5.875000,6.750000,5.781250,6.437500,2.860831,59054400
1994-05-01,6.437500,6.781250,6.218750,6.687500,2.971931,53502800
1994-06-01,6.687500,7.062500,6.437500,6.531250,2.923497,39284800
1994-07-01,6.562500,6.812500,6.250000,6.531250,2.923497,32359600
1994-08-01,6.500000,6.875000,6.343750,6.656250,2.979448,37520000
1994-09-01,6.593750,6.718750,6.187500,6.187500,2.789382,46136800
1994-10-01,6.187500,6.250000,5.906250,6.125000,2.761206,57364000
1994-11-01,6.156250,6.218750,5.281250,5.437500,2.472040,47974000
1994-12-01,5.406250,5.937500,5.250000,5.843750,2.656732,51808000
1995-01-01,5.750000,6.125000,5.656250,6.000000,2.727768,37376800
1995-02-01,6.000000,6.437500,5.843750,6.437500,2.952101,33213200
1995-03-01,6.437500,6.562500,6.093750,6.343750,2.909109,45276400
1995-04-01,6.343750,6.718750,6.312500,6.625000,3.038085,31322400
1995-05-01,6.593750,7.093750,6.406250,7.093750,3.253044,60859600
1995-06-01,7.031250,7.343750,6.843750,7.187500,3.322364,54897200
1995-07-01,7.187500,7.406250,6.812500,7.062500,3.264582,46020800
1995-08-01,7.031250,7.687500,6.718750,7.531250,3.481259,64200400
1995-09-01,7.531250,8.187500,7.468750,8.125000,3.788188,51449600
1995-10-01,8.187500,8.562500,7.312500,7.375000,3.438505,69281600
1995-11-01,7.343750,8.250000,7.312500,8.250000,3.846466,62421200
